eventID,eventDate,occurrenceID,basisOfRecord,recordNumber,catalogNumber,organismName,organismID,scientificName,lifeStage,sex,individualCount,taxonID,kingdom,phylum,family,genus,speciesEpithet,occurrenceStatus,recordedByID
d7b3a9d0-c768-4c94-aa59-1f8eec5d5cd2,2017-05-26,48048790-3706-4972-b630-c622ddb7575d,MaterialSample,RH01200,Genlab_ID,Lmu367,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
5528efea-80d7-4a1c-a46d-17130b63b73f,2017-05-25,e3ad94b3-6252-4d2c-86cf-218eb41c4b2e,MaterialSample,RH01173,Genlab_ID,Lmu247,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
5528efea-80d7-4a1c-a46d-17130b63b73f,2017-05-25,7dfc0ca7-4325-4ad4-b32c-4a6b954d1481,MaterialSample,RH01183,Genlab_ID,Lmu247,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
42f47c7b-35f0-4729-b720-9aaa8213a1c3,2017-05-25,756b574c-c793-4035-b4ee-367c72de8577,MaterialSample,RH01250,Genlab_ID,Lmu320,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
51427cfd-29c4-4a74-bb02-0f1d975fd14c,2017-05-25,38832069-b862-4681-9c28-3db7a34fb616,MaterialSample,RH01167,Genlab_ID,Lmu374,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
7137154c-19fd-4782-aff1-30791f5a44ac,2017-05-25,02e8a83b-7972-431b-b9b7-00e891c8ffa0,MaterialSample,RH01264,Genlab_ID,Lmu236,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
122919da-edfd-4a10-87e0-9be37c41f069,2017-05-25,2c769973-de17-4beb-aef8-c09b0ffd122b,MaterialSample,RH01281,Genlab_ID,Lmu160,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
a2496175-1e5d-4552-8860-8b80d68a95da,2017-05-25,db5fc20b-03d2-444a-b8e4-2a15c88cfd83,MaterialSample,RH01222,Genlab_ID,Lmu373,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
bab41b18-6dd8-487f-b3b1-b246e636f27b,2017-05-25,8a11ffc6-5b5a-4d4b-893c-d2ed2ddf6c1c,MaterialSample,RH01262,Genlab_ID,Lmu368,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
93bcf742-963b-4fe4-877b-f6fa9883d558,2017-05-26,3628f319-0b41-4c95-bb49-2a5f70d11b1a,MaterialSample,RH01237,Genlab_ID,Lmu369,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
93bcf742-963b-4fe4-877b-f6fa9883d558,2017-05-26,56f59210-9569-43cf-b958-4375e8651585,MaterialSample,RH01156,Genlab_ID,Lmu379,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
93bcf742-963b-4fe4-877b-f6fa9883d558,2017-05-26,7e2551b1-1653-48b4-94e4-1b082cf4a66b,MaterialSample,RH01157,Genlab_ID,Lmu363,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
3a17c30b-8709-42e8-b90d-7f53c74182cb,2017-05-26,2f477079-b747-44d3-9a78-88fa28ebbb67,MaterialSample,RH01228,Genlab_ID,Lmu293,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
9378d78b-74d0-4fd1-8cb5-3182eacf1b51,2017-05-26,261feef8-542d-476a-9ff4-adf43709fc7b,MaterialSample,RH01177,Genlab_ID,Lmu382,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
9378d78b-74d0-4fd1-8cb5-3182eacf1b51,2017-05-26,de54f65c-2957-4648-a4d3-1b77cf92d731,MaterialSample,RH01189,Genlab_ID,Lmu353,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
71c4fee3-9b24-4025-a63b-cd9c63631a56,2017-05-26,7be61e42-fcee-43a8-87dc-71462bba6347,MaterialSample,RH01124,Genlab_ID,Lmu364,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
0f787480-b75a-4233-9d7f-1d7252eb25df,2017-05-26,3a5079d4-acea-4882-9caf-078895b7591c,MaterialSample,RH01293,Genlab_ID,Lmu236,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
